Tutaj powinny znaleźć się następujące obrazy:

1. running-in-place.jpg
2. jumping-jacks.jpg
3. mountain-climbers.jpg
4. push-ups.jpg
5. chair-dips.jpg
6. diamond-push-ups.jpg
7. squats.jpg
8. lunges.jpg
9. plank.jpg
10. crunches.jpg
11. bicycle-crunches.jpg
12. dumbbell-press.jpg
13. dumbbell-row.jpg
14. lateral-raises.jpg
15. band-row.jpg
16. band-press.jpg
17. band-lateral-raise.jpg

Możesz dodać własne zdjęcia ćwiczeń lub znaleźć darmowe zdjęcia na stronach takich jak:
- unsplash.com
- pexels.com
- pixabay.com

Pamiętaj, aby używać zdjęć na licencji pozwalającej na komercyjne wykorzystanie.
